epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.885,1.26203,3.70358,0.97578,0.05731,0.54983,0.16118,0.08056,0.81967,4.28513,0.82941,0.000202546,0.000202546,0.000202546
2,55.1541,1.01981,1.86664,0.89408,0.04234,0.66039,0.23054,0.16193,0.92764,4.02994,0.84694,0.000406812,0.000406812,0.000406812
3,77.8501,1.02501,1.45242,0.91145,0.05645,0.9282,0.59525,0.48174,0.70891,3.14254,0.84056,0.000606953,0.000606953,0.000606953
4,100.349,0.94544,1.22028,0.89251,0.85176,0.6742,0.87568,0.70441,0.77128,1.77879,0.85836,0.000606437,0.000606437,0.000606437
5,122.395,0.89778,1.02083,0.88476,0.85455,0.88391,0.94344,0.784,0.71111,0.87991,0.85013,0.00060025,0.00060025,0.00060025
6,145.264,0.86721,0.9083,0.88289,0.92496,0.90214,0.96475,0.80763,0.68621,0.64781,0.84966,0.000594062,0.000594062,0.000594062
7,168.129,0.85723,0.79681,0.87434,0.95612,0.91775,0.97451,0.78124,0.80246,0.5997,0.86814,0.000587875,0.000587875,0.000587875
8,190.19,0.81681,0.72623,0.87734,0.93661,0.95775,0.9806,0.812,0.72017,0.5508,0.86024,0.000581687,0.000581687,0.000581687
9,213.426,0.79728,0.67637,0.86643,0.95934,0.9617,0.98381,0.83714,0.64174,0.48293,0.84474,0.0005755,0.0005755,0.0005755
10,236.122,0.74387,0.61115,0.85453,0.95061,0.95769,0.97664,0.83959,0.63536,0.46179,0.84032,0.000569313,0.000569313,0.000569313
11,258.492,0.75892,0.59866,0.85619,0.9648,0.9769,0.986,0.83528,0.65957,0.43817,0.84209,0.000563125,0.000563125,0.000563125
12,281.27,0.73085,0.59206,0.85411,0.97927,0.98471,0.98465,0.84513,0.62694,0.40049,0.83922,0.000556938,0.000556938,0.000556938
13,303.664,0.77342,0.60208,0.85895,0.98158,0.98351,0.98514,0.84212,0.6355,0.42907,0.84235,0.00055075,0.00055075,0.00055075
